query_id,name,query_type,strategy,entity_filters,meta_filters,narrative_keywords,require_connected,output_mode,output_target,output_top_n,coverage_thresholds,diagnosis_rule,custom_fn,ground_truth,notes,expected_count
SH-26,What incidents affected the thumb?,Single-hop,entity_filter,BODY_PART:thumb:AFFECTED,,,,count_incidents,,10,50:1,CLEAN,,,,253
SH-27,What incidents resulted in contusions or bruises?,Single-hop,entity_filter,INJURY_TYPE:contusion|bruise|bruising:RESULTED_IN,,,,count_incidents,,10,50:1,CLEAN,,,,360
SH-28,What incidents resulted in sprains or strains?,Single-hop,entity_filter,INJURY_TYPE:sprain|strain:RESULTED_IN,,,,count_incidents,,10,50:1,CLEAN,,,,156
AG-17,What are the most common injury types at construction sites?,Aggregation,meta_filter,,work_process contains construction,,,aggregate,INJURY_TYPE:RESULTED_IN,10,3:1,CLEAN,,,,
AG-18,Which clients report the most high-severity incidents?,Aggregation,meta_filter,,severity_bin >= 4,,,aggregate,ORGANIZATION:REPORTED_BY,10,3:1,CLEAN,,,,
AG-19,What is the year-over-year trend of fracture injuries?,Aggregation,entity_filter,INJURY_TYPE:fracture:RESULTED_IN,,,,count_by_year,,10,3:1,CLEAN,,,,228
AG-20,What equipment is most common in incidents at Aberdeen?,Aggregation,entity_filter,LOCATION:aberdeen:OCCURRED_AT,,,,aggregate,EQUIPMENT:INVOLVED,10,10:1,CLEAN,,,,
MH-25,What finger or thumb injuries involve fractures?,Multi-hop,intersect,BODY_PART:finger|thumb:AFFECTED;INJURY_TYPE:fracture:RESULTED_IN,,,,count_incidents,,10,10:1,ER_NEEDED,,,,61
MH-26,What back injuries are associated with manual handling root causes?,Multi-hop,intersect,BODY_PART:back|lower back:AFFECTED;ROOT_CAUSE_CATEGORY:manual handling:CATEGORIZED_AS,,,,count_incidents,,10,10:1,CLEAN,,,,97
MH-27,What crane incidents occurred during 2019?,Multi-hop,intersect,EQUIPMENT:crane:INVOLVED,year == 2019,,,count_incidents,,10,50:1,ER_NEEDED,,,,166
MH-28,What forklift incidents occurred during 2023?,Multi-hop,intersect,EQUIPMENT:forklift|flt:INVOLVED,year == 2023,,,count_incidents,,10,20:1,ER_NEEDED,,,,99
MH-29,What scaffold incidents occurred during 2020?,Multi-hop,intersect,EQUIPMENT:scaffold:INVOLVED,year == 2020,,,count_incidents,,10,5:1,ER_NEEDED,,,,40
MH-30,What ROV incidents occurred during 2017?,Multi-hop,intersect,EQUIPMENT:\brov\b:INVOLVED,year == 2017,,,count_incidents,,10,10:1,ER_NEEDED,,,,82
MH-31,What injuries result from fall/slip RCC incidents with fractures?,Multi-hop,intersect,ROOT_CAUSE_CATEGORY:fall.*slip|slip.*trip:CATEGORIZED_AS;INJURY_TYPE:fracture:RESULTED_IN,,,,count_incidents,,10,10:1,CLEAN,,,,68
MH-32,What equipment is involved in incidents at Houston?,Multi-hop,entity_filter,LOCATION:houston:OCCURRED_AT,,,,aggregate,EQUIPMENT:INVOLVED,10,10:1,CLEAN,,,,
MH-33,What body parts are affected in incidents reported by YAMAL LNG?,Multi-hop,entity_filter,ORGANIZATION:yamal:REPORTED_BY,,,,aggregate,BODY_PART:AFFECTED,10,5:1,ER_NEEDED,,,,
MH-34,What injuries result from incidents at Rio de Janeiro?,Multi-hop,entity_filter,LOCATION:rio de janeiro:OCCURRED_AT,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,CLEAN,,,,
MH-35,What incidents involve grinders with hand or finger injuries?,Multi-hop,intersect,EQUIPMENT:grinder:INVOLVED;BODY_PART:hand|finger:AFFECTED,,,,count_incidents,,10,5:1,ER_NEEDED,,,,45
CJ-17,Find vehicle road accidents at construction sites with injuries.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:motor vehicle:CATEGORIZED_AS,work_process contains construction;impact_type contains Injury,,,count_incidents,,10,1:0,CLEAN,,,,
CJ-18,Find manual handling incidents with sprain/strain injuries.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:manual handling:CATEGORIZED_AS;INJURY_TYPE:sprain|strain:RESULTED_IN,,,,count_incidents,,10,3:1,CLEAN,,,,19
CJ-19,Find stored-energy dropped-object incidents with lacerations.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:stored energy.*dropped:CATEGORIZED_AS;INJURY_TYPE:laceration|cut:RESULTED_IN,,,,count_incidents,,10,1:0,CLEAN,,,,12
CJ-20,Find near-miss incidents involving forklifts in 2023.,Conjunctive,intersect,EQUIPMENT:forklift|flt:INVOLVED,incident_type contains near miss;year == 2023,,,count_incidents,,10,5:1,ER_NEEDED,,,,
SC-22,"In incident #564230, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::564230:INJURY_TYPE:RESULTED_IN,10,2:1,auto,,headache|dizziness|contusion|nausea,Injury type extraction check,
SC-23,"In incident #696119, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::696119:INJURY_TYPE:RESULTED_IN,10,2:1,auto,,dislocate left shoulder|Cerebral Hematoma|Crack left pelvis,Injury type extraction check,
SC-24,"In incident #560111, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::560111:INJURY_TYPE:RESULTED_IN,10,2:1,auto,,Multiple facial graze-wound|Eyes injury|Open right-eye cornea injury|Left-eye cornea injury|Periorbital hematoma,Injury type extraction check,
SC-25,"In incident #702644, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::702644:INJURY_TYPE:RESULTED_IN,10,2:1,auto,,breaks/fractures|soft tissue damage|bruising|skin abrasion,Injury type extraction check,
SC-26,"In incident #16468, what locations were recorded?",Single-hop,spot_check,,,,,aggregate,INCIDENT::16468:LOCATION:OCCURRED_AT,10,3:1,auto,,Deep Orient|Aberdeen|UK|Europe,Location extraction check,
SC-27,"In incident #546948, what locations were recorded?",Single-hop,spot_check,,,,,aggregate,INCIDENT::546948:LOCATION:OCCURRED_AT,10,3:1,auto,,Doha|Qatar|Middle East,Location extraction check,
SC-28,"In incident #555852, what organizations were recorded?",Single-hop,spot_check,,,,,aggregate,INCIDENT::555852:ORGANIZATION:REPORTED_BY,10,3:1,auto,,STATOIL ASA|TECHNIPFMC|KVA|ERTL|Project management,Organization extraction check,
SC-29,"In incident #594002, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::594002:EQUIPMENT:INVOLVED,10,2:1,auto,,Stamping Punch Tool|V-Jaw tong|Punch tool,Equipment extraction check,
SC-30,"In incident #706581, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::706581:INJURY_TYPE:RESULTED_IN,10,2:1,auto,,rib fracture|pulmonary contusion|femoral fracture|cut wound,Injury type extraction check,
SC-31,"In incident #563298, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::563298:EQUIPMENT:INVOLVED,10,2:1,auto,,light 4x4 truck|skid|truck platform,Equipment extraction check,
SH-37,How many incidents mention fire (not line of fire)?,Single-hop,narrative_filter,,,"ANY:fire,flame,ignition,combustion",,count_incidents,,10,50:1,CLEAN,,,,
SH-38,How many incidents mention pressure hazards?,Single-hop,narrative_filter,,,pressure,,count_incidents,,10,50:1,CLEAN,,,,1260
SH-39,How many incidents reference permit-to-work procedures?,Single-hop,narrative_filter,,,"ANY:permit to work,ptw,work permit",,count_incidents,,10,50:1,CLEAN,,,,345
SH-40,How many incidents mention struck-by hazards?,Single-hop,narrative_filter,,,struck by,,count_incidents,,10,10:1,CLEAN,,,,86
SH-41,How many incidents describe caught-between or pinch-point hazards?,Single-hop,narrative_filter,,,"ANY:caught between,caught in,pinch point,pinched",,count_incidents,,10,50:1,CLEAN,,,,543
SH-42,How many incidents mention line-of-fire hazards?,Single-hop,narrative_filter,,,line of fire,,count_incidents,,10,50:1,CLEAN,,,,461
SH-43,How many incidents mention scaffolding falls?,Single-hop,narrative_filter,,,"ANY:~scaffold fall,~scaffolding fall,~scaffold fell,~scaffolding fell",,count_incidents,,10,20:1,CLEAN,,,,
SH-44,How many incidents reference JSA or toolbox talks?,Single-hop,narrative_filter,,,"ANY:jsa,toolbox talk,safety briefing,pre-job",,count_incidents,,10,50:1,CLEAN,,,,
GL-09,How many incidents mention burns in narrative but have no burn injury type extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_burn,,Compares narrative mentions vs INJURY_TYPE extraction for burns,
GL-10,How many incidents mention fractures in narrative but have no fracture injury type extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_fracture,,Compares narrative mentions vs INJURY_TYPE extraction for fractures,
GL-11,How many incidents mention cranes in narrative but have no crane equipment extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_crane,,Compares narrative mentions vs EQUIPMENT extraction for cranes,
GL-12,How many incidents mention forklifts in narrative but have no forklift equipment extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_forklift,,Compares narrative mentions vs EQUIPMENT extraction for forklifts,
GL-13,How many high-severity incidents (>=4) have no injury type extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_severity_injury,,Severity>=4 with missing INJURY_TYPE edges,
GL-14,How many injury-impact incidents have no body part extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_injury_bodypart,,impact_type=Injury with missing BODY_PART edges,
GL-15,How many incidents have very short narratives (<100 chars) with no entities extracted?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_short_narrative,,Short narratives likely mean test records or missing data,
GL-16,How many incidents contain non-English narratives with reduced entity extraction?,Global,custom,,,,,,,10,,EXTRACTION_GAP,extraction_gap_foreign_language,,Detects Portuguese/French/other language narratives and compares extraction rates,
GL-17,Find the 10 incidents most similar to incident #29857 (dropped pry bar) using hybrid embedding similarity.,Global,custom,,,,,,,10,,CLEAN,similarity_seed_incident,,Uses text + structural + KG embeddings for hybrid similarity retrieval,
GL-18,Find the 10 incidents most similar to incident #569346 (ladder fall with broken teeth) using hybrid embedding similarity.,Global,custom,,,,,,,10,,CLEAN,similarity_seed_incident_2,,Uses text + structural + KG embeddings for hybrid similarity retrieval,
GL-19,Do the top-10 text-similar incidents for a forklift accident share the same equipment type? (structural hit rate),Global,custom,,,,,,,10,,CLEAN,similarity_hit_rate_forklift,,Measures whether text similarity retrieves structurally related incidents,
GL-20,Do the top-10 text-similar incidents for a crane near-miss share the same equipment type? (structural hit rate),Global,custom,,,,,,,10,,CLEAN,similarity_hit_rate_crane,,Measures whether text similarity retrieves structurally related incidents,
GL-21,How well do text embeddings and structural similarity agree on the top-10 most similar incidents? (method correlation),Global,custom,,,,,,,10,,CLEAN,similarity_method_agreement,,Compares text vs structural vs KG embedding rankings,
GL-22,Find incidents semantically similar to 'worker fell from scaffold due to missing guardrail' using text embeddings.,Global,custom,,,,,,,10,,CLEAN,similarity_text_query,,Free-text semantic search over incident narratives via sentence-transformer,
GL-23,Find incidents semantically similar to 'crane load dropped because sling failed under tension' using text embeddings.,Global,custom,,,,,,,10,,CLEAN,similarity_text_query_2,,Free-text semantic search over incident narratives via sentence-transformer,
GL-24,Which equipment types appear most often in the top-10 similar incidents for high-severity events? (embedding-based pattern),Global,custom,,,,,,,10,,CLEAN,similarity_severity_equipment,,Uses embeddings to find patterns in high-severity incident neighborhoods,
IOGP-09,What are the top injury types from moving vehicle and mobile equipment incidents?,Aggregation,entity_filter,EQUIPMENT:forklift|truck|vehicle|van|car|mewp|loader|bulldozer|excavator|tractor:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,ER_NEEDED,,,,
IOGP-10,How many vehicle incidents resulted in high-severity outcomes?,Multi-hop,intersect,ROOT_CAUSE_CATEGORY:motor vehicle:CATEGORIZED_AS,severity_bin >= 3,,,count_incidents,,10,10:1,CLEAN,,,,
IOGP-11,What body parts are most affected in vehicle/mobile equipment incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:motor vehicle:CATEGORIZED_AS,,,,aggregate,BODY_PART:AFFECTED,10,5:1,CLEAN,,,,
IOGP-12,Which countries have the most mechanical lifting/hoisting incidents?,Aggregation,entity_filter,EQUIPMENT:crane|hoist|sling|rigging|shackle|winch:INVOLVED,,,,aggregate,LOCATION[country]:OCCURRED_AT,10,5:1,ER_NEEDED,,,,
IOGP-13,What are the top root causes of mechanical lifting incidents?,Aggregation,entity_filter,EQUIPMENT:crane|hoist|sling|rigging|shackle|winch:INVOLVED,,,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,10,3:1,ER_NEEDED,,,,
IOGP-14,How many working-at-height incidents involved harnesses or lanyards?,Single-hop,entity_filter,EQUIPMENT:harness|lanyard|safety line|fall arrest:INVOLVED,,,,count_incidents,,10,10:1,ER_NEEDED,,,,
IOGP-15,What injury types result from fall-to-lower-level incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:fall to lower level:CATEGORIZED_AS,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,CLEAN,,,,
IOGP-16,How do dropped object incidents break down by body part affected?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:stored energy.*dropped:CATEGORIZED_AS,,,,aggregate,BODY_PART:AFFECTED,10,5:1,CLEAN,,,,
IOGP-17,How many tensioned line or snap-back incidents occurred?,Single-hop,narrative_filter,,,"ANY:snap back,snapback,tensioned line,mooring line,stored energy",,count_incidents,,10,50:1,CLEAN,,,,
IOGP-18,What equipment is involved in stored energy (pressure/tension) incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:stored energy.*pressure|stored energy.*tension:CATEGORIZED_AS,,,,aggregate,EQUIPMENT:INVOLVED,10,5:1,CLEAN,,,,
IOGP-19,How many pressurized system incidents mention zero energy verification?,Multi-hop,intersect,ROOT_CAUSE_CATEGORY:hazardous liquid:CATEGORIZED_AS,,"ANY:zero energy,isolation,lockout",,count_incidents,,10,1:0,CLEAN,,,,
IOGP-20,What injuries result from compressed gas or pressure vessel incidents?,Multi-hop,intersect,EQUIPMENT:cylinder|gas bottle|pressure vessel|compressor:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,3:1,ER_NEEDED,,,,
IOGP-21,How many machinery/tool incidents involved entrapment or caught-between hazards?,Single-hop,narrative_filter,,,"ANY:caught between,caught in,trapped,entrap,pinch",,count_incidents,,10,50:1,CLEAN,,,,
IOGP-22,What body parts are most affected in grinder and power tool incidents?,Multi-hop,entity_filter,EQUIPMENT:grinder|saw|drill|power tool:INVOLVED,,,,aggregate,BODY_PART:AFFECTED,10,5:1,ER_NEEDED,,,,
IOGP-23,How many electrical incidents mention arc flash or electrocution?,Single-hop,narrative_filter,,,"ANY:arc flash,electrocution,electric shock,energized",,count_incidents,,10,5:1,CLEAN,,,,
IOGP-24,What equipment is involved in electrical incidents with LOTO failures?,Multi-hop,intersect,ROOT_CAUSE_CATEGORY:electr:CATEGORIZED_AS,,"ANY:lockout,tagout,loto,energized",,aggregate,EQUIPMENT:INVOLVED,10,1:0,CLEAN,,,,
IOGP-25,How many incidents involve projectiles or flying debris?,Single-hop,narrative_filter,,,"ANY:projectile,flying debris,flying object,shrapnel",,count_incidents,,10,5:1,CLEAN,,,,
IOGP-26,What are the top root causes of explosion or fire incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:flammable:CATEGORIZED_AS,,,,aggregate,EQUIPMENT:INVOLVED,10,3:1,CLEAN,,,,
IOGP-27,How many incidents mention extreme weather or natural events?,Single-hop,narrative_filter,,,"ANY:weather,storm,lightning,flood,earthquake,hurricane,cyclone",,count_incidents,,10,50:1,CLEAN,,,,
IOGP-28,What are the year-over-year trends for vehicle incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:motor vehicle:CATEGORIZED_AS,,,,count_by_year,,10,5:1,CLEAN,,,,842
SH-45,What incidents involved helicopters?,Single-hop,entity_filter,EQUIPMENT:helicopter:INVOLVED,,,,count_incidents,,10,1:0,CLEAN,,Data-sparse: only 8 incidents with helicopter equipment,8,
SH-46,What incidents were reported by PETROBRAS?,Single-hop,entity_filter,ORGANIZATION:petrobras:REPORTED_BY,,,,count_incidents,,10,50:1,ER_NEEDED,,,,676
SH-47,What incidents were reported by EQUINOR?,Single-hop,entity_filter,ORGANIZATION:equinor:REPORTED_BY,,,,count_incidents,,10,50:1,ER_NEEDED,,,,401
SH-48,What incidents occurred at Sabetta?,Single-hop,entity_filter,LOCATION:sabetta:OCCURRED_AT,,,,count_incidents,,10,50:1,CLEAN,,,,880
SH-49,What incidents occurred at Le Trait?,Single-hop,entity_filter,LOCATION:le trait:OCCURRED_AT,,,,count_incidents,,10,50:1,CLEAN,,,,1163
SH-50,What incidents resulted in abrasions or scratches?,Single-hop,entity_filter,INJURY_TYPE:abrasion|scratch|scrape:RESULTED_IN,,,,count_incidents,,10,50:1,CLEAN,,,,223
MH-36,What equipment is involved in incidents reported by PETROBRAS?,Multi-hop,entity_filter,ORGANIZATION:petrobras:REPORTED_BY,,,,aggregate,EQUIPMENT:INVOLVED,10,5:1,ER_NEEDED,,,,
MH-37,What are the top injury types in incidents at Le Trait?,Multi-hop,entity_filter,LOCATION:le trait:OCCURRED_AT,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,3:1,CLEAN,,,,
MH-38,What equipment is involved in near-miss incidents at offshore locations?,Multi-hop,intersect,,work_process contains offshore;incident_type contains near miss,,,aggregate,EQUIPMENT:INVOLVED,10,5:1,CLEAN,,,,
MH-39,What are the root causes of incidents in Russia?,Multi-hop,entity_filter,LOCATION:russia:OCCURRED_AT,,,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,10,5:1,CLEAN,,,,
MH-40,What body parts are affected in excavator-related incidents?,Multi-hop,entity_filter,EQUIPMENT:excavator:INVOLVED,,,,aggregate,BODY_PART:AFFECTED,10,3:1,ER_NEEDED,,,,
MH-41,What injury types result from incidents involving pallets?,Multi-hop,entity_filter,EQUIPMENT:pallet:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,ER_NEEDED,,,,
AG-25,What is the year-over-year trend of contusion/bruise injuries?,Aggregation,entity_filter,INJURY_TYPE:contusion|bruise|bruising:RESULTED_IN,,,,count_by_year,,10,3:1,CLEAN,,,,360
AG-26,How do incident counts compare across the top 10 operating centers?,Aggregation,crosstab,,,,,crosstab,operating_center:incident_type,,3:1,CLEAN,,,,
CJ-27,Find crane incidents in Norway resulting in injuries.,Conjunctive,intersect,EQUIPMENT:crane:INVOLVED;LOCATION:norway:OCCURRED_AT,impact_type contains Injury,,,count_incidents,,10,3:1,ER_NEEDED,,,,
CJ-28,Find incidents with both equipment failure and manual handling root causes.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:equipment condition:CATEGORIZED_AS;ROOT_CAUSE_CATEGORY:manual handling:CATEGORIZED_AS,,,,count_incidents,,10,0:0,DATA_SPARSE,,,Each incident has at most 1 RCC edge — dual-RCC intersection is structurally impossible in this dataset,
CJ-29,Find high-severity incidents at construction sites involving scaffolding.,Conjunctive,intersect,EQUIPMENT:scaffold:INVOLVED,work_process contains construction;severity_bin >= 3,,,count_incidents,,10,1:0,ER_NEEDED,,,,
CJ-30,Find incidents involving hoses with environmental impact at offshore locations.,Conjunctive,intersect,EQUIPMENT:hose:INVOLVED,work_process contains offshore;impact_type contains environment,,,count_incidents,,10,1:0,ER_NEEDED,,,,
SC-32,"In incident #507347, what body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::507347:BODY_PART:AFFECTED,10,2:1,auto,,Knee|left leg,Body part extraction check,
SC-33,"In incident #507347, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::507347:EQUIPMENT:INVOLVED,10,2:1,auto,,Yokohama fenders|ROV XLX94|crutches,Equipment extraction check,
SC-34,"In incident #19018, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::19018:EQUIPMENT:INVOLVED,10,3:1,auto,,crane|ROV|u-VCM|MCV-U|MVC,Equipment extraction check for vessel ops,
SC-35,"In incident #664483, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::664483:INJURY_TYPE:RESULTED_IN,10,1:1,auto,,confirmed fracture|dislocation,Injury type extraction check,
SH-51,What incidents occurred in 2024?,Single-hop,meta_filter,,year == 2024,,,count_incidents,,10,50:1,CLEAN,,,,1461
SH-52,What incidents have severity level 5 (most severe)?,Single-hop,meta_filter,,severity_bin >= 5,,,count_incidents,,10,1:0,CLEAN,,,,23
SH-53,What incidents are classified as occupational illness?,Single-hop,meta_filter,,impact_type contains Occupational Illness,,,count_incidents,,10,10:1,CLEAN,,,,160
SH-54,What incidents have red risk classification?,Single-hop,meta_filter,,risk_color == Red,,,count_incidents,,10,5:1,CLEAN,,,,52
SH-55,What incidents involved robots or drones?,Single-hop,entity_filter,EQUIPMENT:robot|drone|uav:INVOLVED,,,,count_incidents,,10,0:0,EXTRACTION_GAP,,,16 narratives mention robot/drone but only 8 have EQUIPMENT extracted,8
SH-56,What incidents occurred before 2016?,Single-hop,meta_filter,,year <= 2015,,,count_incidents,,10,0:0,DATA_SPARSE,,,Out-of-range year — should return 0,0
SH-57,What incidents occurred in Antarctica?,Single-hop,entity_filter,LOCATION:antarctica:OCCURRED_AT,,,,count_incidents,,10,0:0,DATA_SPARSE,,,No operations in Antarctica — expected 0,0
SH-58,What incidents involved tanks?,Single-hop,entity_filter,EQUIPMENT:\btank\b:INVOLVED,,,,count_incidents,,10,10:1,ER_NEEDED,,,Ambiguous term: fuel tank vs storage tank vs oxygen tank,67
MH-42,What injuries result from incidents involving pipes at offshore locations?,Multi-hop,intersect,EQUIPMENT:pipe:INVOLVED,work_process contains offshore,,,aggregate,INJURY_TYPE:RESULTED_IN,10,3:1,ER_NEEDED,,,,
MH-43,What equipment is involved in red-risk incidents?,Multi-hop,meta_filter,,risk_color == Red,,,aggregate,EQUIPMENT:INVOLVED,10,1:0,CLEAN,,,,
MH-44,What are the root causes of incidents at Sabetta (Yamal LNG site)?,Multi-hop,entity_filter,LOCATION:sabetta:OCCURRED_AT,,,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,10,5:1,CLEAN,,,,
CJ-31,Find severity 5 incidents involving cranes with injury impact.,Conjunctive,intersect,EQUIPMENT:crane:INVOLVED,severity_bin >= 5;impact_type contains Injury,,,count_incidents,,10,0:0,EXTRACTION_GAP,,,3 crane+sev5+injury incidents exist but crane EQUIPMENT not extracted for all,
MH-45,What injury types are connected to crane equipment via graph traversal?,Multi-hop,traverse,,,,,,EQUIPMENT:crane>INVOLVED>INCIDENT>RESULTED_IN>INJURY_TYPE,10,5:1,ER_NEEDED,,Graph walk: EQUIPMENT::crane → INVOLVED → INCIDENT → RESULTED_IN → INJURY_TYPE,
MH-46,What equipment is connected to fracture injuries via graph traversal?,Multi-hop,traverse,,,,,,INJURY_TYPE:fracture>RESULTED_IN>INCIDENT>INVOLVED>EQUIPMENT,10,5:1,ER_NEEDED,,Reverse walk: INJURY_TYPE::fracture → INCIDENT → EQUIPMENT,
MH-47,What body parts are connected to forklift equipment via graph traversal?,Multi-hop,traverse,,,,,,EQUIPMENT:forklift>INVOLVED>INCIDENT>AFFECTED>BODY_PART,10,5:1,ER_NEEDED,,Graph walk: EQUIPMENT::forklift → INCIDENT → BODY_PART,
MH-48,What root causes are connected to hand injuries via graph traversal?,Multi-hop,traverse,,,,,,BODY_PART:hand>AFFECTED>INCIDENT>CATEGORIZED_AS>ROOT_CAUSE_CATEGORY,10,5:1,CLEAN,,Reverse walk: BODY_PART::hand → INCIDENT → ROOT_CAUSE_CATEGORY,
MH-49,What locations have crane equipment via 2-hop graph traversal?,Multi-hop,traverse,,,,,,EQUIPMENT:crane>INVOLVED>INCIDENT>OCCURRED_AT>LOCATION,10,5:1,ER_NEEDED,,Graph walk: crane → INCIDENT → LOCATION,
CJ-32,What causal chains lead from equipment failures to injuries (L2 traversal)?,Conjunctive,traverse,,,,,,EQUIPMENT:.*>CAUSAL>EVENT>CAUSAL>INJURY,10,1:0,L2_REQUIRED,,L2 causal chain: EQUIPMENT → CAUSAL → EVENT → CAUSAL → INJURY,
CJ-33,What events are caused by corrosion conditions (L2 traversal)?,Conjunctive,traverse,,,,,,CONDITION:corros>CAUSAL>EVENT,10,1:0,L2_REQUIRED,,L2 walk: CONDITION::corros* → CAUSAL → EVENT,
CJ-34,What injuries result from failed controls (L2 traversal)?,Conjunctive,traverse,,,,,,CONDITION:.*>FAILED_CONTROL>EVENT>CAUSAL>INJURY,10,1:0,L2_REQUIRED,,L2 chain: CONDITION → FAILED_CONTROL → EVENT → CAUSAL → INJURY,
